split,issuer,folder,report_id,report_guid,year,reporting_type,report_name,pdf,pdf_sha256,pdf_bytes,workbook,allocations,projects,kpis,text_kpis,unnamed_projects,bond_attributions
testing,7R park,testing/7R park,REP_0f813c9bb198,f1766f08-214f-4d09-9069-6665724bcd32,2026,Portfolio,Allocation and impact report,7R 2026.pdf,f7e878c0b13cfc25ab390a471930cc6692f10654d6fe73958aa740913de8f420,17282729,7R 2026.xlsx,1,7,38,0,0,4
verification,Agder Energi AS,verification/Agder Energi AS,REP_a76bd861447a,90895145-e4fb-4bf3-95bc-94fdc010e249,2025,Portfolio,Green Financing Report 2025,A Energi 2025.pdf,5c79b0c4344015a8afaf472193976e3b5d8614e948009b159c1bfeeeb1cd2b7e,857574,A Energi 2025.xlsx,16,2,5,0,0,8
verification,Ahold Delhaize,verification/Ahold Delhaize,REP_6d04bdf85cbd,bbe4cd06-1856-4141-bbd9-fcfd5188b312,2026,Portfolio,Green Bond Allocation and Impact Report 2025,Ahold 2025.pdf,4693ce025b2645318966b0a942f4648db5997e1e72cd64b65e8a8270c7e7c4b4,2644338,Ahold 2025.xlsx,5,5,6,0,5,2
testing,Akademiska Hus,testing/Akademiska Hus,REP_bbfb42c36fba,5f6c2304-968a-4130-a14e-3d07f9499f9a,2025,Portfolio,Green Bond Investor Report 2025,Akademiska Hus 2026.pdf,868fecee45940849fd732ad72013380c8aed36cd13bb134cf5e050bfcb3c655f,6443014,Akademiska Hus 2026.xlsx,4,13,81,15,3,3
verification,Al Rajhi Bank,verification/Al Rajhi Bank,REP_d31151a93c8c,d0fdb2ff-b30d-4774-a78b-a26bce9e5955,2026,Portfolio,Allocation & Impact 2026,AlRajhi Bank 2026.pdf,d5dc29fab007dbd9b08d37152f5e1d462ec4f0ce78a84cabb4ecedc9cc9de19f,420116,AlRajhi Bank 2026.xlsx,5,8,25,0,0,5
verification,Arion Bank,verification/Arion Bank,REP_dfb399bc6965,db63ede4-7787-437d-8fe1-e2f1c886e3ee,2026,Portfolio,Impact and Allocation Report 2025,Arion 2025.pdf,fb8231c4f5f0e588007ca9adb0ff5e0777ccf089bdc94944d573f6a0d417d66d,4970464,Arion 2025.xlsx,6,7,19,1,0,5
testing,AUGA,testing/AUGA,REP_d6ffbf3c6cff,f62467c4-7456-4931-8735-47b22aa4a969,2025,Bond,Green Bonds Report,Auga 2025.pdf,e1dda234a48507f5b9ddf36049ead3a0ebe0d06bfb7f80cae742bcf95a1a1e17,3521255,Auga 2025.xlsx,4,3,0,0,0,1
verification,Australian Office of Financial Management,verification/Australian Office of Financial Management,REP_048cae24040e,c1b0554a-5bbd-4f5c-8e94-432b245e1205,2026,Portfolio,Green Treasury Bonds 2026 Allocation and Impact Report Snapshot,Australia 2026.pdf,f062fb51a9bfaabfed8f703141c14ecbeba1419f58e0b9c700dde6aa9bb8ffd5,485559,Australia 2026.xlsx,8,17,18,3,0,1
testing,AYVENS S.A.,testing/AYVENS S.A,REP_19e0b77b8c53,1a806470-fa4e-4308-b4f5-975d060b65e7,2026,Portfolio,Green bond and allocation report,Ayvens 2026.pdf,431a81110b3c72bf695a003646befc80eb4e3edecc844425fe07bcacb5a0ad7a,698460,Ayvens 2026.xlsx,1,1,11,2,0,3
verification,Bank of Cyprus,verification/Bank of Cyprus,REP_6d56b809e84b,5c09d725-282b-4df8-bf0b-5355d999e7f3,2025,Bond,Allocation and impact report,Bank of Cyprus 2025.pdf,55c8f9e5b598cfdd3f579adedc3a1eb9ee62cbd40909fe607b7db63fadba0d3c,737233,Bank of Cyprus 2025.xlsx,1,2,21,0,0,1
testing,Belfius Bank SA/NV,testing/Belfius Bank SA-NV,REP_1972f7328d1c,b2ec614b-03a6-4215-8430-116fc895203c,2026,Portfolio,Belfius Green Bond Framework Green Bond Impact Report - Report based on the data of 31 March 2026,Belfius 2026-Green bond report.pdf,553dac57d40dfb71cd48e773b7156b93400074c02771ce5436c4f109f88c960a,1220494,Belfius 2026-Green bond report.xlsx,1,88,88,0,0,4
verification,Cassa Depositi e Prestiti (CDP),verification/Cassa Depositi e Prestiti (CDP),REP_3930bb5488d2,a70ebe67-a353-4c5b-88e1-2225d2527fd9,2026,Bond,GREEN BOND REPORT 2026,CDP 2026.pdf,2f8a62bd1136497a87567f76f146732f54a20266c50906f0fdfa1234da33c513,8931377,CDP 2026.xlsx,4,6,17,0,0,1
testing,CPP Investments,testing/CPP Investments,REP_19774683602e,9835880d-ae74-43c5-a96e-ea357dd0ac51,2026,Portfolio,Green Bond Impact Report 2026,CPP 2026.pdf,cc43c6dd20bb18df936012d544f963d5f6e4215be18d5209ca46f597dcad804f,994291,CPP 2026.xlsx,3,25,126,13,0,10
testing,DNB Bank ASA,testing/DNB Bank ASA,REP_ea44be441f42,ea08c89a-11bb-43a0-9943-8253d6cf00b3,2026,Portfolio,Green Bond Allocation Report June 2026,DNB June 2026.pdf,7db1250e0d6ec7c57d924c4e59946c058faa167c0e37ade26a0a4025052643a6,758592,DNB June 2026.xlsx,4,3,7,0,0,66
verification,Eidsiva Energi AS,verification/Eidsiva Energi AS,REP_3e69ab2d7c29,24f541f3-0a1e-4524-97f9-89570187e2c3,2025,Portfolio,Green Finance  Report,Eidsiva 2025.pdf,d1d22ee0a2e21ce0b1856b4b1b32ef2ee5090bd2732e37fff2ba5854a1a7ced7,10766727,Eidsiva 2025.xlsx,2,2,6,0,0,4
verification,EP Infrastructure,verification/EP Infrastructure,REP_1cd34491de65,08cc2e27-57b6-4386-9cb1-15581a97633b,2026,Portfolio,Green Finance Allocation and Impact Report,EPIF 2026.pdf,9dca19ac318a140f11c87bc54366129f71de93a954ca4058f435f2a42a172d16,1040749,EPIF 2026.xlsx,2,5,14,0,0,2
testing,Federal State of Hesse,testing/Federal State of Hesse,REP_a286e2cb31cc,08a2c68e-9853-4ae8-b75f-16479a4cc21c,2025,Bond,State of Hesse Green Bond 2025 - Reporting Allocation and Impact Report,Hessen 2025.pdf,9cddf9afa590e3567fa76a5341fb770efbf11e7778c88aca2f01b927af9fd8e5,2917651,Hessen 2025.xlsx,12,31,94,0,0,1
verification,Fingrid OYJ,verification/Fingrid OYJ,REP_58a7159d0a6a,609657c7-9abd-409e-a14d-61c9b569db3a,2025,Portfolio,Green Finance Report 2025,Fingrid Finance 2025.pdf,ae2179b179c1085b7139e450155c1a7d702c9174ac7bf48cd1d22609aa9b2215,3849932,Fingrid Finance 2025.xlsx,1,1,5,0,0,3
verification,FMO,verification/FMO,REP_aca83f517042,e05326b6-858e-4642-8b4a-7ddc38eb32b7,2025,Portfolio,2025 Sustainability Bonds Newsletter - Newsletter no. 16,FMO 2025.pdf,9a233c49ead7c3632264cb3159d2248269cd7c3804831c601ca64908dae96e6c,1758310,FMO 2025.xlsx,4,17,50,0,0,8
verification,Husqvarna AB,verification/Husqvarna AB,REP_956a666be370,bceef3bf-0de1-4acc-aa2b-a5b88c09f51b,2025,Portfolio,2025 Husqvarna Group  allocation and impact report,Husqvarna 2025.pdf,c674a01a26eef14c04a2fb96bc382644443f9940833b29a9f63e7b52bf1eff38,1964744,Husqvarna 2025.xlsx,1,1,2,0,0,2
verification,KEB Hana Bank,verification/KEB Hana Bank,REP_cb3a106edef0,b1e82854-af79-4621-a8c9-0865bcaed78b,2025,Portfolio,2025 ESG Bond Allocation & Impact Report,Hana 2025.pdf,34bf6df568b24d03a9775f64d18489d86e362aa37846e4c7352b693d4aeb5196,517334,Hana 2025.xlsx,8,10,20,0,0,2
testing,Latvenergo,testing/Latvenergo,REP_0f1b22ce35d2,78a70e32-b4fd-473e-9df6-9f9fc47cc40b,2025,Portfolio,Latvenergo Group Consolidated and Latvenergo AS Annual Report 2025,Latvenergo 2025.pdf,58e62f272b10dbf0f1884ae7b253d09e5a9d04dd6943e18fd0434f539a609994,4387431,Latvenergo 2025.xlsx,14,4,6,0,0,4
